Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.018200,0.000000,0
Solver,26.271700,1.431894,3.76183e+07
Richards Exclude 1st Time Step,25.756800,1.460047,3.76062e+07
Solver Cleanup,0.000600,0.000000,0
Matvec,0.000000,0.000000,0
PFSB I/O,0.000000,0.000000,0
PFB I/O,8.117900,0.000000,0
CLM,3.458100,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.049900,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.014600,0.000000,0
SubsrfSim,0.000100,0.000000,0
Porosity,0.000000,0.000000,0
PhaseRelPerm,0.491100,0.151959,74627
PFMG,0.289100,0.000000,0
HYPRE_Copies,0.140200,0.000000,0
NL_F_Eval,1.893900,0.025752,48771
KINSol,8.656400,2.337975,2.02384e+07
Total Runtime,26.852800,-nan,0
